name,ear_1_connection_1_cid,ear_1_connection_1_interface,ear_1_connection_2_cid,ear_1_connection_2_interface,ear_1_connection_3_cid,ear_1_connection_3_interface,ear_1_connection_aggregate,ear_1_connection_aggregate_cid,ear_1_optic,ear_1_router_hostname,ear_2_connection_1_cid,ear_2_connection_1_interface,ear_2_connection_2_cid,ear_2_connection_2_interface,ear_2_connection_3_cid,ear_2_connection_3_interface,ear_2_connection_aggregate,ear_2_connection_aggregate_cid,ear_2_optic,ear_2_router_hostname,priv_1_connection_1_cid,priv_1_connection_1_interface,priv_1_connection_2_cid,priv_1_connection_2_interface,priv_1_connection_aggregate,priv_1_connection_aggregate_cid,priv_1_optic,priv_1_router_hostname,priv_2_connection_1_cid,priv_2_connection_1_interface,priv_2_connection_2_cid,priv_2_connection_2_interface,priv_2_connection_aggregate,priv_2_connection_aggregate_cid,priv_2_optic,priv_2_router_hostname,var_1_connection_1_cid,var_1_connection_1_interface,var_1_connection_2_cid,var_1_connection_2_interface,var_1_connection_aggregate,var_1_connection_aggregate_cid,var_1_optic,var_1_router_hostname,var_2_connection_1_cid,var_2_connection_1_interface,var_2_connection_2_cid,var_2_connection_2_interface,var_2_connection_aggregate,var_2_connection_aggregate_cid,var_2_optic,var_2_router_hostname
SLKDUTTX,00NW42/100G/SLKDUTTX/SLKDUTYI,et-1/0/20,,,,,6,,CW4,BAR3.SLC1,00NW4B/100G/SLKDUTTX/SLKDUTYI,et-1/0/20,,,,,6,,CW4,BAR4.SLC1,,6/1/2002,,,12,,CW4,SLC2-PRIV-21,00NW4F/10GE/SLKDUTTX/SLKDUTUY,8/1/2005,,,12,,CW4,SLC2-PRIV-22,00NW46/100G/SLKDUTTX/SLKDUTTX,et-0/1/5,,,40,,CW4,VAR1.SLC5,00NW4A/100G/SLKDUTTX/SLKDUTTX,et-0/1/5,,,40,,CW4,VAR2.SLC5
PITEPADT,74364H/100GIG/PITEPADT/PITEPADT,1/1/c10/1,74366H/100GIG/PITEPADT/PITEPADT,1/1/c11/1,74368H/100GIG/PITEPADT/PITEPADT,1/1/c12/1,5,00N0TM/GE1L/PITEPADT/PITEPADT,LR4,EAR1.PIT1,74384H/100GIG/PITEPADT/PITEPADT,1/1/c10/1,74385H/100GIG/PITEPADT/PITEPADT,1/1/c11/1,74386H/100GIG/PITEPADT/PITEPADT,1/1/c12/1,5,00N0TN/GE1L/PITEPADT/PITEPADT,LR4,EAR2.PIT1,10GigE to PITEPADTQS001 xe-0/0/32; ETH10GBN-24117470; CORE#182414705; ; red edge compute,7/1/2003,,,5,1x10GigE to PITEPADTQS001 ae300; ETH10GBN-24117470.01; CORE#182414705; ; red edge compute,LR4,PIT-PRIV-20,,,,,,,LR4,,00MITL/100G/PITEPADT/PITEPADT,et-0/1/5,,,5,00N0SW/GE1L/PITEPADT/PITEPADT,LR4,VAR1.PIT1.LEVEL3.COM,00MITP/100G/PITEPADT/PITEPADT,et-0/1/5,,,5,00N0T4/GE1L/PITEPADT/PITEPADT,LR4,VAR2.PIT1.LEVEL3.COM
DNVTCO56,64681H/100GIG/DNVTCO56/DNVTCO56,9/2/2003,73394H/100GIG/DNVTCO56/DNVTCO56,4/2/2002,73395H/100GIG/DNVTCO56/DNVTCO56,9/2/2004,9,00LDEL/GE1L/DNVTCO56/DNVTCO56,LR4,ear2.den1,64682H/100GIG/DNVTCO56/DNVTCO56,et-4/0/26,73396H/100GIG/DNVTCO56/DNVTCO56,et-2/0/13,73397H/100GIG/DNVTCO56/DNVTCO56,et-2/0/14,17,00LDEO/GE1L/DNVTCO56/DNVTCO56,LR4,edge8.den1,ETH10GBN-24094502.01,4/2/2005,,,9,ETH10GBN-24094502,LR4,DVR3-PRIV-20,ETH10GBN-24094511.01,3/1/2007,,,9,ETH10GBN-24094511,LR4,DVR3-PRIV-21,00LC8D/100G/DNVTCO56/DNVTCO56,et-2/0/2,,,41,00LDBL/GE1L/DNVTCO56/DNVTCO56,LR4,var1.den5,00LC8E/100G/DNVTCO56/DNVTCO56,et-2/0/2,,,41,00LDBM/GE1L/DNVTCO56/DNVTCO56,LR4,var2.den5
ATLDGAUY,00NZKJ/100G/ATLDGAUY/ATLDGAUY,10/1/2001,,,,,41,00O08Q/GE1L/ATLDGAUY/ATLDGAUY,LR4,ear1.atl2,00NZKL/100G/ATLDGAUY/ATLDGAUY,et-3/0/24,,,,,41,00O08Z/GE1L/ATLDGAUY/ATLDGAUY,LR4,edge6.atl2,,,,,,,CW4,,,,,,,,CW4,,00NZK9/100G/ATLDGAUY/ATLDGAUY,et-2/0/5,,,41,00O08T/GE1L/ATLDGAUY/ATLDGAUY,LR4,var1.atl12,00NZKD/100G/ATLDGAUY/ATLDGAUY,et-2/0/5,,,41,00O093/GE1L/ATLDGAUY/ATLDGAUY,LR4,var2.atl12
BRVWILCU,73970H/100GIG/BRVWILCU/BRVWILCU,et-2/0/29,73978H/100GIG/BRVWILCU/BRVWILCU,et-2/0/16,73979H/100GIG/BRVWILCU/BRVWILCU,et-2/0/17,5,00MIGN/GE1L/BRVWILCU/BRVWILCU,LR4,edge2.chi10,73980H/100GIG/BRVWILCU/BRVWILCU,et-1/0/25,73982H/100GIG/BRVWILCU/BRVWILCU,et-1/0/26,73983H/100GIG/BRVWILCU/BRVWILCU,et-1/0/27,5,00MIGO/GE1L/BRVWILCU/BRVWILCU,LR4,edge3.chi10,ETH10GBN-24117865.01,1/1/2007,,,11,ETH10GBN-24117865,LR4,CER-PRIV-20,ETH10GBN-24117866.01,8/2/2001,,,11,ETH10GBN-24117866,LR4,CER-PRIV-24,00MIF7/100G/BRVWILCU/BRVWILCU,et-0/1/5,,,41,00MIGP/GE1L/BRVWILCU/BRVWILCU,LR4,VAR1.CHI13.LEVEL3.COM,00MIF8/100G/BRVWILCU/BRVWILCU,et-0/1/5,,,41,00MIGQ/GE1L/BRVWILCU/BRVWILCU,LR4,VAR2.CHI13.LEVEL3.COM
DNVT0856,00M4WD/100G/DNVT0856/DNVTCO56,4/2/2003,,,,,19,00M4T9/GE1L/DNVT0856/DNVTCO56,CW4,ear3.den1,00M4WK/100G/DNVT0856/DNVTCO56,et-4/0/28,,,,,19,00M4WN/GE1L/DNVT0856/DNVTCO56,CW4,edge8.den1,00M4XK/10GE/DNVT0856/DNVRCOMA,4/2/2006,,,10,00M4XL/GE1L/DNVT0856/DNVRCOMA,CW4,DVR3-PRIV-20,00M4XO/10GE/DNVT0856/DNVRCOMA,3/1/2008,,,10,00M4XP/GE1L/DNVT0856/DNVRCOMA,CW4,DVR3-PRIV-21,00M4RN/100G/DNVT0856/DNVTCO56,et-2/0/5,,,42,00M4SR/GE1L/DNVT0856/DNVTCO56,CW4,var1.den5,00M4RS/100G/DNVT0856/DNVTCO56,et-2/0/5,,,42,00M4ST/GE1L/DNVT0856/DNVTCO56,CW4,var2.den5
NYCPNYYK,06158I/100GIG/NYCPNYYK/NYCPNYYK,7/1/2001,,,,,100,,LR4,ear1.nyc6,06166I/100GIG/NYCPNYYK/NYCPNYYK,5/1/2001,,,,,100,,LR4,ear2.nyc6,,,,,,,CW4,,,,,,,,CW4,,00NYIM/100G/NYCPNYYK/NYCPNYYK,et-2/0/2,,,41,,LR4,var1.nyc6,00NYIN/100G/NYCPNYYK/NYCPNYYK,et-2/0/2,,,41,,LR4,var2.nyc6
ML4ECTST,,,,,,,,,CW4,,,,,,,,,,CW4,,,,,,,,CW4,,,,,,,,CW4,,VAR1.1,xe-1/1/0,VAR1.2,xe-1/1/1,11,,CW4,var1.mnl4,VAR2.1,xe-1/1/0,VA2.1,xe-1/1/1,11,,CW4,var2.mnl4
PHNDAZ91,00LCUK/100G/PHNDAZ91/PHNDAZ91,5/1/2001,00MQ0O/100G/PHNDAZ91/PHNDAZ91,4/2/2003,00MQ0Q/100G/PHNDAZ91/PHNDAZ91,4/2/2004,9,00LD2N/GE1L/PHNDAZ91/PHNDAZ91,LR4,BEAR1.PHX1,00LD5F/100G/PHNDAZ91/PHNDAZ91,ET-0/0/23,00MQ0R/100G/PHNDAZ91/PHNDAZ91,et-1/0/23,00MQ0T/100G/PHNDAZ91/PHNDAZ91,et-1/0/24,11,00LD1E/GE1L/PHNDAZ91/PHNDAZ91,LR4,EDGE2.PHX1,00LC00/10GE/PHNDAZ91/PHNXAZUI,6/1/2002,,,9,00LD0F/GE1L/PHNDAZ91/PHNXAZUI,LR4,PHN-PRIV-20,00LC6T/10GE/PHNDAZ91/PHNXAZUI,9/1/2005,,,9,00LD4G/GE1L/PHNDAZ91/PHNXAZUI,LR4,PHN-PRIV-21,00LC0A/100G/PHNDAZ91/PHNDAZ91,ET-2/0/2,,,41,00LD0E/GE1L/PHNDAZ91/PHNDAZ91,LR4,VAR1.PHX4,00LC3E/100G/PHNDAZ91/PHNDAZ91,ET-2/0/2,,,41,00LD4E/GE1L/PHNDAZ91/PHNDAZ91,LR4,VAR2.PHX4
KSCBMOVS,97393H/100GIG/KSCBMOVS/KSCBMOVS,1/1/c10/1,,,,,10,00NIOE/GE1L/KSCBMOVS/KSCBMOVS,CW4,ear1.kac2,97394H/100GIG/KSCBMOVS/KSCBMOVS,1/1/c10/1,,,,,10,00NIOG/GE1L/KSCBMOVS/KSCBMOVS,CW4,ear2.kac2,,,,,,,,,,,,,,,,,00NIMD/100G/KSCBMOVS/KSCBMOVS,et-0/1/5,,,41,00NIOF/GE1L/KSCBMOVS/KSCBMOVS,LR4,var1.ksc6.level3.com,00NIMI/100G/KSCBMOVS/KSCBMOVS,et-0/1/5,,,41,00NIOH/GE1L/KSCBMOVS/KSCBMOVS,LR4,var2.ksc6.level3.com
