name,ear_1_connection_aggregate,ear_1_router_hostname,ear_2_connection_aggregate,ear_2_router_hostname
ATLDGAUY,41,ear1.atl2,41,edge6.atl2
BRVWILCU,5,edge2.chi10,5,edge3.chi10
CNCNOHBV,4,ear1.cin1,4,ear2.cin1
DLLATX37,4,ear1.dal1,30,ear4.dal1
DNVT0856,19,ear3.den1,19,edge8.den1
DNVTCO56,9,ear2.den1,17,edge8.den1
KSCBMOVS,10,ear1.kac2,10,ear2.kac2
MIATFLAD,4,edge6.mia1,4,ear2.mia1
MNNTMNIC,5,EAR1.MIN25,5,EAR2.MIN25
NLVGNVBV,4,ear1.lvg,4,ear2.lvg1
NSVMTN17,6,EAR1.NVL1,6,EAR2.NVL1
NYCPNYYK,100,ear1.nyc6,100,ear2.nyc6
PHNDAZ91,9,BEAR1.PHX1,11,EDGE2.PHX1
PITEPADT,5,EAR1.PIT1,5,EAR2.PIT1
SLKDUTTX,6,bar3.slc1.level3.com,6,bar4.slc1.level3.com
SNDACAGL,9,EAR1.SDG1,9,EAR2.SDG1
STTNWAHO,9,EAR2.SEA1,9,EDGE6.SEA1
TAMRFLWS,5,bar3.tmp1,5,bar4.tmp1
WSCRCAHW,4,ear1.sac1,4,ear2.sac1
